capacity,highlights,location,phone,url,venue_name
[95],"BYO,Valet parking,BYO","6109 Atlantic Avenue,Wildwood, NJ 08260",[6095221177],https://www.wedding-spot.com/venue/12608/cape-cod-inn-motel/,Cape Cod Inn Motel
[1000],"4x award winner,Indoor and outdoor spaces,Upgraded rentals included","555 Northern Boulevard,Great Neck, NY 11021",[5164877900],https://www.wedding-spot.com/venue/1400/leonards-palazzo/,Leonard's Palazzo
[170],,"2000 New Jersey 38,Cherry Hill, NJ 08002",[8567924480],https://www.wedding-spot.com/venue/11585/maggianos-little-italy-cherry-hill/,Maggiano's Little Italy- Cherry Hill
[600],"Indoor and outdoor spaces,Rentals included,Valet parking","123 South Indiana Avenue,Atlantic City, NJ 08401",[6094874378],https://www.wedding-spot.com/venue/11347/the-claridge-hotel/,The Claridge Hotel
[200],"Indoor and outdoor spaces,Rentals included,Valet parking","911 Kingsley Street,Asbury Park, NJ 07712",[7327401722],https://www.wedding-spot.com/venue/11114/porta-pizzeria-asbury-park/,Porta Pizzeria Asbury Park
[250],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","105 80th Street,Avalon, NJ 08202",[6093685175],https://www.wedding-spot.com/venue/9937/the-windrift-avalon/,The Windrift- Avalon
[450],"Indoor and outdoor spaces,BYO,Indoor and outdoor spaces","55 Stockton Street,Princeton, NJ 08540",[6098261222],https://www.wedding-spot.com/venue/9821/morven-museum-garden/,Morven Museum & Garden
[400],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","46 Yard Road,Pennington, NJ 08534",[6097374465],https://www.wedding-spot.com/venue/9431/hopewell-valley-vineyards/,Hopewell Valley Vineyards
[2500],"BYO,Rentals included,Valet parking","1195 Florence Columbus Road,Bordentown, NJ 08505",[6094990432],https://www.wedding-spot.com/venue/9346/liberty-lake-picnic/,Liberty Lake Picnic
[160],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","1200 Ocean Avenue,Asbury Park, NJ 07712",[7327741155],https://www.wedding-spot.com/venue/9190/tim-mcloones-supper-club/,Tim McLoone's Supper Club
[170],"Indoor and outdoor spaces,Rentals included,Valet parking","547 North Main Street,Barnegat, NJ 08005",[6096070707],https://www.wedding-spot.com/venue/9165/leftys-tavern/,Lefty's Tavern
[200],"Valet parking,Valet parking","2025 Church Road,Toms River, NJ 08753",[7325512819],https://www.wedding-spot.com/venue/9161/american-legion-post-129/,American Legion Post 129
[800],"Award winner,Indoor and outdoor spaces,Award winner","26 Paris Avenue,Rockleigh, NJ 07647",[2017687171],https://www.wedding-spot.com/venue/15477/the-rockleigh/,The Rockleigh
[200],"Upgraded rentals included,Rentals included,Valet parking","One UN Plaza,New York, NY 10017",[2127025003],https://www.wedding-spot.com/venue/18060/millennium-hilton-new-york-one-un-plaza/,Millennium Hilton New York One UN Plaza
[250],"3x award winner,Indoor and outdoor spaces,BYO","1005 Cathedral Road,Bryn Athyn, PA 19009",[2159472004],https://www.wedding-spot.com/venue/3184/cairnwood-estate/,Cairnwood Estate
